analyze_and_understand_data_to_influence_product_or_business_decisions,build_the_data_infrastructure_that_my_business_uses_for_storing_analyzing_and_operationalizing_data,build_prototypes_to_explore_applying_machine_learning_to_new_areas,build_a_machine_learning_service_that_operationally_improves_my_product_or_workflows,experimentation_and_iteration_to_improve_existing_ml_models,do_research_that_advances_the_state_of_the_art_of_machine_learning,none_of_these_activities_are_an_important_part_of_my_role_at_work,what_is_the_primary_tool_that_you_use_at_work_or_school_to_analyze_data,highest_level_of_formal_education,job_title,yearly_compensation,does_your_current_employer_incorporate_machine_learning_methods_into_their_business
NA,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"20,000-24,999",No (we do not use ML methods)
NA,NA,NA,NA,NA,NA,NA,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Research Scientist,"15,000-19,999",No (we do not use ML methods)
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,NA,NA,NA,NA,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Business Analyst,"15,000-19,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,NA,Other,Doctoral degree,Research Scientist,$0-999,"We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Software Engineer,"10,000-14,999",No (we do not use ML methods)
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,"2,000-2,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Analyst,"2,000-2,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,NA,NA,"Advanced statistical software (SPSS, SAS, etc.)",Bachelor’s degree,Software Engineer,"125,000-149,999","We have well established ML methods (i.e., models in production for more than 2 years)"
NA,NA,NA,NA,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Software Engineer,"30,000-39,999",No (we do not use ML methods)
Analyze and understand data to influence product or business decisions,NA,NA,NA,NA,Do research that advances the state of the art of machine learning,NA,Other,Doctoral degree,Research Scientist,"50,000-59,999",We use ML methods for generating insights (but do not put working models into production)
NA,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Some college/university study without earning a bachelor’s degree,Data Analyst,"4,000-4,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Bachelor’s degree,Software Engineer,"40,000-49,999",I do not know
NA,NA,NA,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Software Engineer,"10,000-14,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,NA,NA,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Doctoral degree,Data Scientist,"125,000-149,999","We have well established ML methods (i.e., models in production for more than 2 years)"
NA,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,Build and/or run a machine learning service that operationally improves my product or workflows,NA,Do research that advances the state of the art of machine learning,NA,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Some college/university study without earning a bachelor’s degree,Data Analyst,"7,500-9,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,Build and/or run a machine learning service that operationally improves my product or workflows,NA,NA,NA,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Data Scientist,"10,000-14,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,NA,NA,NA,NA,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Software Engineer,"4,000-4,999",We are exploring ML methods (and may one day put a model into production)
Analyze and understand data to influence product or business decisions,NA,Build prototypes to explore applying machine learning to new areas,NA,Experimentation and iteration to improve existing ML models,NA,NA,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Engineer,"70,000-79,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
NA,NA,NA,NA,NA,NA,NA,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Product/Project Manager,"70,000-79,999",No (we do not use ML methods)
Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",NA,NA,Experimentation and iteration to improve existing ML models,NA,NA,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Data Scientist,"100,000-124,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
